SampleID	CDKN2A_Copy
a79721c2-2caf-424b-942c-bbca147f6479	2
a92ea0ff-7f81-4437-b73e-8a6d212f3dfc	2
a967b9fc-7dd7-497e-bc88-be942c14aae7	4
afab0459-4424-4a5f-989d-80b00470f4c1	4
afcbbde3-116f-4e78-95fa-b401a3ebe74e	2
b40fda0f-3a3a-41a4-9743-7f70c548b980	2
b4a00019-48b0-4b96-968e-21946baa1f09	2
b7deff8f-e764-4700-8054-f40ce32c3d26	4
b850533a-6998-435f-a4a1-cc5f29603a6b	2
bb4303e6-e361-4a74-8cc6-550bc87b93bf	2
bb6508cd-02ae-4d77-a351-3701f3786990	2
bf9c9953-db73-449d-b6b8-cb8add5d57cf	2
bfcf772f-4643-459f-8b6e-2848253cc4f9	2
c0ae641d-e17a-48f3-a914-ea0b5d259d2a	2
c1629a2f-5d4a-4602-9c91-bb49ce1b7116	4
c22d0cfb-2047-4702-a2a6-061e035af74f	4
c5b4366f-b462-4500-a16b-89dc496bcb4b	2
c6dac256-bda1-4e49-9912-01d7f050b337	2
c73bc75d-955b-429f-8809-797de84eb70e	2
c9c7e2e9-9c91-463f-abfa-4f3774258bd9	2
ca3dec5f-78bf-45e8-b579-3f4cc8ed5fbd	2
cab3331a-5bbe-49e0-a0b1-52c7b1699b65	2
cb55dd7c-9134-44af-b70d-3a43022ed2e2	2
cb639936-dae3-4169-8d46-7d90e54ea882	2
cda1730e-797c-4d07-b457-4d1361e31582	2
cdb249fb-533c-40c1-997d-ef8b729735cc	2
ce9a4c7c-d183-44e0-8f2f-2d9cf1b86ffb	2
cf9f8e14-174e-438f-910d-28aaef1ad717	2
cfee83c4-1696-40dd-828f-5609203b0f15	2
d12aa875-3ff3-4e17-90ac-b8376f2f28ca	2
d51a85f1-f331-4c7b-b810-5993f600eb37	4
d7f2ada0-2a17-4773-bfe6-a7e672d085bb	4
dbdc9db1-5547-4ebb-950d-392728736c8e	2
dc6b3d49-d0bb-4505-bb16-c7ab62799321	2
dcfde0e0-5cdf-4cd2-b66f-542c47237550	2
dee05456-b185-44a0-9709-884070648057	3
def83393-3ccf-4295-aa23-72cc980b13cc	4
df0b16c2-63ca-47e5-88b9-be1d4eaa8c10	2
e070deef-c6b0-4711-92f3-203f35baba0a	2
e51a9c12-b067-47dd-9fa0-6aa3cb01c094	4
e9b7e007-b408-482d-872c-700731e12f06	2
e9bd2f9d-5e59-490b-85fa-e952673fb1fe	3
eb0ae615-57c1-4a2e-83ba-78b6479ca09d	6
ecce5ba5-f378-425f-a7c1-94c87b607222	2
ee543a8e-4e54-465f-b525-ad8ce9ebbd84	2
eea13fde-567e-4612-b309-12a1fc809609	2
f0cee859-04fb-4b20-9306-99cdc5cc3550	2
f237c7b8-c9ab-4a7b-9096-178f363bea6e	2
f4184dbb-e41e-4fec-a7cb-0e329c8163eb	2
f7711065-c615-4f54-b7c1-b4c613ab84b4	2
fc0f6821-fc2a-4f97-a85d-ee5b77d5f8ef	2
fcbffabc-bf1b-4f0f-85fa-e969631933a5	2
fd217984-5a43-431c-876b-fccdbf719f66	2
