SampleID	CDKN2A_Copy
000e86c2-ff35-4553-b1ad-bfe661233853	0
023b380e-9b43-49bb-a79e-6f3da3ad7365	0
0304357b-681f-49c4-ac87-2e6d5875c5d5	0
0374c0b4-cfae-45d3-984a-6a24d832e22d	0
047b6c98-e291-41ba-b509-7b575bdd16a8	0
0496679e-9a42-4577-a51d-4ac005bebf9d	0
04b0e65b-14e5-480b-b8c6-3eedc968ebe4	0
0531d4a4-c2aa-4adf-8627-2b1a1ede609e	0
0782fd24-2924-41ff-89d3-6556907c036b	0
08df7ad9-ecd3-4a9c-88fb-7962ee28146b	0
090d69de-e2be-472f-8e3e-b06ba225d599	0
0b77bf5f-b4d0-4752-9363-757818af5643	0
0c623588-3e88-4322-b885-cc0b57226958	0
0e365428-d1b1-4d1a-b4de-503d5e923a74	0
0ecea11d-1263-4c23-b2be-147d823fbc08	0
0eda283a-d123-4061-8e14-c40c74acaeca	0
0f9afa4a-52bc-4d7c-aec9-0cdf0339badf	0
10349304-da84-4016-b1b4-44309a9ef294	0
104ecfab-02ab-4703-a021-333aac563747	0
10a6f136-d68b-4e30-ab2d-da874bbe9c3c	0
10c67498-84b1-4ac7-b070-175c84a89ce2	0
10de86be-4599-4915-9a0d-f21d2763417f	0
11e90c08-c8c4-48b6-a758-52102e85233e	0
125ee61a-1298-411e-991c-8f3146fd7d64	0
12ce0237-ea6e-45f1-9cd8-88575673320d	0
14550d7c-5973-491d-9682-5680b1003934	0
14a44029-b5f9-4386-b136-cce549603138	0
14f8626c-a5c1-482f-afe4-19c1cc005452	0
1516ef5c-bcaf-448c-a21b-f93d2110d33b	0
17380aab-ca27-4072-8fd2-677af2ba238a	0
173d2ffb-8e4c-4a55-9607-66efac95a307	0
17604e05-6c33-4a71-8e36-e1a498d15523	0
17f6d0bf-2d4c-4d92-a95e-c0432b5072c9	0
1926cea7-7575-4465-904a-180a29b571e3	0
19bf99b0-e449-4414-beda-9dfee075e033	0
1b1c26f7-dc7c-47b4-acc7-0f9c5b1eb6f6	0
1b93e8c8-7d1f-4a64-8769-3d59ec6db1c1	0
1bad9612-1a65-4e7b-8df9-b3f10103df32	0
1e35657b-e640-4e2b-b812-ab7490d5c83c	0
1e566a20-10f9-4b59-b7b9-8f3e0b593440	0
1f0c573a-5a53-46c8-a3f5-62702d2875b8	0
20236f7b-832a-47ef-95d2-ab679a48bcb6	0
202d87d4-23c0-45d8-add1-0b0e8b4695d2	0
206dda97-c98b-468f-a3c3-3755487595ca	0
2164ba87-7bd5-4db1-88a2-a6d82f852a6f	0
22490eb0-a82f-4ad7-b81d-73f521ffdaf5	0
23755170-8772-41e0-aacb-5c490cb2a92f	0
246bb50f-3f69-4afc-86f9-246cf392d945	0
253760ff-fbb7-4c91-8f8c-b102662b75fb	0
268a6415-ed0c-4b36-86c1-cda8c823d598	0
26cd60a3-6806-4ac4-b39f-6cce6c91005c	0
283974d4-8ff9-495e-bd84-04dfdee3ded6	0
28f519a3-f4f5-4367-9626-2678131aad81	0
291348a9-978f-4c57-b22c-787f9aecc3a6	0
296817f8-8ec0-481c-a676-527de1fe1588	0
2a205553-70d5-4d5d-8c3e-8e4d21fc792a	0
2a387cad-d168-4ff9-99e0-638acf661289	0
2bee9953-ea7d-4837-b47f-72bce457e5ac	0
2bfdba3d-dd95-4ceb-960f-ece28d837a4d	0
2c849049-184e-4ea5-bbf8-e23fc100fa8e	0
2ee4e549-4f10-4c3a-821c-1589dfce7b5a	0
2f9f3ecd-6286-474d-8a7a-1977c5700137	0
351e2355-a7ba-474b-9527-f60a3029b3c5	0
37403639-c8d4-4ae8-b012-4f4233b4fc26	0
37fbe687-e0a6-486f-a5a8-8bb4bfd5f96f	0
3a4f6704-d936-4fb5-bcc0-eab2fee4b5aa	0
3b4f82ad-1f02-4a27-9041-fd183264f0d7	0
3ea55c62-b5e6-4080-843f-a15625eec710	0
4000edba-3886-4856-a9db-801979e381c0	0
40d093db-d2b7-44b8-86c8-a78203e5f2e2	0
4173703f-9730-46db-b55a-eb7c91a6f88f	0
41f53ce0-976d-472d-b20d-39e564ddb606	0
43efc2d7-baa2-45bd-b10b-bf00ad135696	0
448113b0-c0f8-4972-a621-6d535ec15fef	0
44931b4d-3fac-4d17-a879-d227caf20562	0
44965d04-310d-4c94-8560-1423a53d8d10	0
4549700c-8d0a-4ee1-93ed-1420a0364ad1	0
46a59b31-5369-42b3-a052-434c6b703f53	0
46aff005-e8cd-423c-a720-84a0d678ec11	0
46e5f6af-027e-4017-bbb7-f48db51ee866	0
476a8cca-2783-4394-a3c0-9aa7d041e576	0
488558e2-e505-4a2e-8d4a-bb396a72f8fa	0
48acc353-1490-4f92-afba-72619ba069fb	0
4a8c5e1c-c9a5-4ec4-9261-97fab9d683b1	0
4aa06e36-9b8b-4c7d-9279-42a7c9c66236	0
4c126167-1e1c-4d7f-8c84-6858f0315ae5	0
4c33f4e7-034d-4a5d-8a3c-0fd4997388cb	0
4d0698ed-9332-47b8-9902-c3632d146c91	0
4d1b78cf-4d0a-4b45-97a3-74d66f1ea266	0
4d84b109-6748-4e69-9cbf-8cd229a66ae5	0
502e8c62-c472-4715-9c49-6ca32e6643f8	0
5154c82a-9ad7-42ba-9e18-8cbf5f314ec5	0
517e13ac-3a39-4a73-816c-110bcbe2c003	0
51c6ec34-91e3-48ab-824d-f91d3789137f	0
52ce1156-c4df-4bf9-b559-c615ed74d0c7	0
53b0883b-ae87-46c1-89dd-4dbe69e83fac	0
550bf937-f9e6-43b6-893a-9ed1632aaa83	0
55d7d766-4551-4a11-b9df-8d7b63f77431	0
565326ba-4145-42c2-972b-b76efe9b8988	0
566d4b67-8fc2-4365-b19b-57a0ca2f0889	0
56c2398f-4cf4-45ed-a5b6-e2d96572ba6d	0
5731e4e1-6826-439f-ae04-780ce49ec1fc	0
59009c63-60eb-4712-8674-848617926642	0
59f7b227-7581-4aaf-9841-c967efcd82bd	0
5a37061a-cd80-49ca-97f2-f058c6a56835	0
5a492497-6c6c-42db-8e49-24e7a9188e46	0
5ab63c70-7621-4cd4-aa22-80c1d628d413	0
5b3669e0-cfe0-494c-9e73-4b48af0a91e8	0
5ceba32d-45c2-4248-82ce-d7bc790d195d	0
5d137424-65e7-473b-b2ee-8435873678c5	0
5d7925c2-6e6a-4fea-b6e4-457715f98f72	0
5dbc3d1e-7536-40c3-a2cc-58cf9f9dd608	0
5dc75fa3-7a59-4c19-bcd0-a896aa4c1633	0
5f0ff654-deec-402d-aed4-390376e40204	0
60bf7609-0107-41b0-a481-72bf4819d554	0
60e0bf7d-8c52-4f27-9989-c3b535e065db	0
60f837fc-8d23-4120-a812-94b7e941e725	0
62d8c63a-691c-4223-b48f-371e652f2dda	0
6481537b-cfb6-4cac-9498-f3de3c1b4b77	0
6507e6b0-ccf0-482c-ba40-4538a6913425	0
65242475-a757-416c-b9be-597232ac584b	0
6588c616-e5c5-4dbd-b323-cdde9ea0b352	0
65bf1926-2b63-4bd4-be7f-4f7b2313ba36	0
